date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2024-08-05,49564.11000000,41.1,Neutral,False,4,26,1.1433,-14.36,6.50,9.61,8.30,5.66
2024-08-06,51413.78000000,55.2,Neutral,False,4,17,1.1855,-10.83,2.02,7.30,3.25,-1.63
2024-08-07,50464.48000000,46.4,Neutral,False,4,29,1.1670,-12.17,1.27,5.73,8.60,-3.08
2024-08-08,56586.70000000,52.5,Neutral,False,4,20,1.1500,-1.38,1.07,-7.25,-3.94,-13.42
2024-08-09,55825.86000000,60.2,Neutral,False,4,48,1.1203,-2.54,0.57,-4.28,2.49,-11.17
2024-08-10,55932.57000000,47.0,Neutral,False,4,40,1.1025,-2.22,0.25,-3.32,2.40,-7.52
2024-08-11,53861.14000000,48.4,Neutral,False,4,39,1.1075,-5.63,0.60,-1.49,6.34,-2.85
2024-08-12,54327.19000000,46.0,Neutral,False,4,25,1.1063,-4.66,0.74,-1.20,3.71,-4.11
2024-08-13,55165.84000000,46.4,Neutral,False,4,31,1.0880,-3.15,0.56,-3.78,-3.48,-4.81
2024-08-14,53355.00000000,43.8,Neutral,False,4,30,1.1111,-6.18,0.81,2.72,-0.45,2.36
2024-08-15,52482.04000000,41.6,Neutral,False,4,29,1.0791,-7.57,0.90,3.57,2.22,3.15
2024-08-16,53437.39000000,42.9,Neutral,False,4,27,1.1484,-5.75,0.50,7.07,0.23,-0.14
2024-08-17,54078.40000000,47.4,Neutral,False,4,25,1.1968,-4.54,0.13,5.91,-1.33,-3.36
2024-08-18,53057.22000000,52.7,Neutral,False,4,31,1.1977,-6.22,0.24,7.95,-2.05,2.22
2024-08-19,53675.93000000,47.6,Neutral,False,4,28,1.1742,-4.96,0.47,4.97,-0.39,3.55
2024-08-20,53083.29000000,46.6,Neutral,False,4,30,1.1631,-5.83,0.81,0.30,-1.91,6.20
2024-08-21,54804.09000000,49.4,Neutral,False,4,26,1.1647,-2.67,0.77,-3.08,-4.45,3.37
2024-08-22,54357.15000000,60.4,Neutral,False,4,39,1.1768,-3.42,0.47,-1.31,-6.96,4.47
2024-08-23,57215.96000000,53.7,Neutral,False,4,34,1.1578,1.50,0.97,-6.39,-14.52,-0.41
2024-08-24,57273.94000000,52.5,Neutral,False,4,56,1.1263,1.43,0.35,-6.83,-14.46,-0.45
2024-08-25,57276.20000000,56.3,Neutral,False,4,54,1.1616,1.31,0.67,-9.27,-13.42,0.28
2024-08-26,56342.22000000,61.5,Neutral,False,4,55,1.1596,-0.51,0.76,-5.10,-8.20,0.73
2024-08-27,53243.79000000,45.7,Neutral,False,4,48,1.1285,-6.01,1.33,-2.21,-1.73,9.54
2024-08-28,53113.91000000,41.3,Neutral,False,4,30,1.1304,-6.22,1.39,-1.41,-1.92,11.01
2024-08-29,53645.07000000,45.7,Neutral,False,4,29,1.1447,-5.29,1.01,-5.72,-2.11,10.04
2024-08-30,53558.38000000,45.8,Neutral,False,4,34,1.1267,-5.47,0.86,-8.68,1.97,9.72
2024-08-31,53361.85000000,48.9,Neutral,False,4,29,1.1159,-5.82,0.24,-8.18,1.45,6.63
2024-09-01,51969.10000000,43.0,Neutral,False,4,26,1.0740,-8.21,0.76,-4.58,2.68,5.87
2024-09-02,53467.26000000,41.8,Neutral,False,4,26,1.0942,-5.49,0.93,-3.26,-2.25,2.73
2024-09-03,52069.25000000,44.2,Neutral,False,4,26,1.1334,-7.72,1.11,0.49,4.16,5.82
2024-09-04,52367.18000000,49.1,Neutral,False,4,27,1.1467,-6.95,1.88,-0.52,6.14,8.07
2024-09-05,50576.57000000,40.6,Neutral,False,4,29,1.1231,-9.87,1.27,3.83,11.47,11.84
2024-09-06,48908.49000000,33.9,Fear,False,4,22,1.1045,-12.54,2.06,11.67,15.83,17.07
2024-09-07,48994.27000000,38.3,Neutral,False,4,23,1.0906,-12.00,0.59,10.50,15.91,15.78
2024-09-08,49591.03000000,39.1,Neutral,False,4,29,1.0797,-10.54,0.62,7.60,14.91,14.24
2024-09-09,51724.70000000,41.3,Neutral,False,4,26,1.0868,-6.34,1.17,1.04,10.23,7.13
2024-09-10,52324.50000000,50.1,Neutral,False,4,33,1.0996,-4.92,0.84,3.65,9.77,5.43
2024-09-11,52094.62000000,43.2,Neutral,False,4,37,1.0725,-5.04,1.14,6.70,8.95,9.62
2024-09-12,52512.59000000,49.1,Neutral,False,4,31,1.0916,-4.00,1.20,7.36,11.07,9.81
2024-09-13,54615.82000000,51.2,Neutral,False,4,32,1.0606,0.07,1.62,3.72,7.95,4.99
2024-09-14,54137.15000000,54.6,Neutral,False,4,50,1.0635,-0.50,0.54,4.90,9.04,11.75
2024-09-15,53362.39000000,56.8,Neutral,False,4,51,1.0949,-1.60,0.57,6.79,10.13,15.37
2024-09-16,52262.76000000,46.0,Neutral,False,4,39,1.0703,-3.24,1.31,9.09,8.87,18.98
2024-09-17,54234.64000000,51.1,Neutral,False,4,33,1.0557,0.69,1.68,5.90,1.45,14.60
2024-09-18,55582.38000000,54.0,Neutral,False,4,45,1.0541,3.41,1.31,2.11,-1.18,13.26
2024-09-19,56376.57000000,59.9,Neutral,False,4,49,1.0520,5.02,1.56,3.45,-2.26,11.47
2024-09-20,56648.45000000,57.4,Neutral,False,4,54,1.0916,5.68,0.77,4.08,-0.10,11.71
2024-09-21,56787.26000000,55.8,Neutral,False,4,54,1.1071,5.93,0.22,3.95,-0.39,9.59
2024-09-22,56983.17000000,55.8,Neutral,False,4,52,1.1141,6.25,0.44,3.13,0.48,9.53
