date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2024-11-22,98892.00000000,72.4,Greed,False,4,94,1.0033,34.30,0.91,-1.45,0.86,-3.75
2024-11-23,97672.40000000,75.7,Greed,False,4,93,0.9745,31.38,0.49,-1.29,2.21,-2.86
2024-11-24,97900.04000000,64.7,Neutral,False,4,80,0.9679,30.43,0.61,-0.73,3.28,0.78
2024-11-25,93010.01000000,66.3,Greed,False,4,82,0.9432,22.92,0.98,3.04,4.59,6.90
2024-11-26,91965.16000000,65.5,Greed,False,4,79,0.9412,20.59,1.17,4.22,5.03,4.16
2024-11-27,95863.11000000,64.8,Neutral,False,4,75,0.9465,24.60,0.83,2.84,5.49,-1.63
2024-11-28,95643.98000000,67.9,Greed,False,4,77,0.9478,23.20,0.59,1.36,4.56,-0.36
2024-11-29,97460.00000000,63.4,Neutral,False,4,78,0.9522,24.35,0.56,2.34,4.07,-3.82
2024-11-30,96407.99000000,73.3,Greed,False,4,84,0.9708,21.95,0.31,3.55,5.20,-3.75
2024-12-01,97185.18000000,62.4,Neutral,False,4,81,0.9678,21.89,0.39,4.04,7.49,-3.71
2024-12-02,95840.62000000,68.0,Greed,False,4,80,0.9856,19.21,0.93,1.50,10.66,-1.30
2024-12-03,95849.69000000,66.5,Greed,False,4,76,0.9749,18.35,0.93,0.78,10.73,1.18
2024-12-04,98587.32000000,67.3,Greed,False,4,78,0.9798,20.79,1.16,2.57,1.64,-0.42
2024-12-05,96945.63000000,61.2,Neutral,False,4,84,0.9785,17.93,2.69,3.16,0.53,1.32
2024-12-06,99740.84000000,65.4,Greed,False,4,72,0.9722,20.38,1.08,1.69,-1.94,-1.38
2024-12-07,99831.99000000,60.3,Neutral,False,4,75,0.9548,19.59,0.36,1.59,-2.54,2.41
2024-12-08,101109.59000000,61.5,Neutral,False,4,79,0.9604,20.17,0.37,3.32,-5.86,-4.11
2024-12-09,97276.47000000,56.9,Neutral,False,4,78,0.9477,14.85,1.34,9.03,-2.46,-2.28
2024-12-10,96593.00000000,56.5,Neutral,False,4,78,0.9426,13.26,1.27,9.88,2.14,-4.18
2024-12-11,101125.00000000,64.4,Neutral,False,4,74,0.9448,17.64,0.96,-0.91,-1.68,-6.33
2024-12-12,100004.29000000,68.2,Greed,False,4,83,0.9296,15.44,0.76,-2.54,-4.21,-5.40
2024-12-13,101424.25000000,61.4,Neutral,False,4,76,0.9290,16.19,0.57,-3.57,-7.03,-6.78
2024-12-14,101420.00000000,71.5,Greed,False,4,83,0.9413,15.27,0.38,-4.07,-6.03,-6.79
2024-12-15,104463.99000000,65.9,Greed,False,4,80,0.9937,17.73,0.62,-8.88,-10.27,-7.57
2024-12-16,106058.66000000,69.7,Greed,False,4,83,1.0046,18.51,1.17,-10.54,-12.51,-5.24
2024-12-17,106133.74000000,71.1,Greed,False,4,87,1.0120,17.64,0.84,-7.04,-11.83,-5.79
2024-12-18,100204.01000000,59.7,Neutral,False,4,81,0.9888,10.40,1.41,-0.77,-5.60,3.87
2024-12-19,97461.86000000,58.3,Neutral,False,4,75,0.9904,6.79,1.49,-1.71,-0.49,7.28
2024-12-20,97805.44000000,65.0,Neutral,False,4,74,0.9806,6.52,1.59,-3.59,0.38,3.61
2024-12-21,97291.99000000,64.1,Neutral,False,4,73,0.9921,5.32,0.59,-2.05,0.95,5.11
2024-12-22,95186.27000000,58.6,Neutral,False,4,73,0.9347,2.47,0.50,-1.52,3.34,11.51
2024-12-23,94881.47000000,53.0,Neutral,False,4,70,0.9377,1.57,0.85,-2.20,7.75,9.30
2024-12-24,98663.58000000,51.9,Neutral,False,4,73,0.9476,4.93,0.63,-5.16,-1.73,5.32
2024-12-25,99429.60000000,54.9,Neutral,False,4,73,0.9583,5.07,0.44,-4.87,-4.39,5.47
2024-12-26,95791.60000000,58.6,Neutral,False,4,79,0.9516,0.80,0.67,1.25,-3.38,9.35
2024-12-27,94299.03000000,55.4,Neutral,False,4,74,0.9621,-1.16,0.82,4.11,0.45,8.82
2024-12-28,95300.00000000,49.9,Neutral,False,4,72,0.9632,-0.50,0.26,3.06,-0.73,7.12
2024-12-29,93738.20000000,58.5,Neutral,False,4,73,0.9331,-2.48,0.45,4.93,0.86,8.10
2024-12-30,92792.05000000,50.6,Neutral,False,4,65,0.9201,-3.71,0.96,10.18,1.88,11.79
2024-12-31,93576.00000000,47.5,Neutral,False,4,64,0.9135,-3.00,0.70,3.61,3.19,11.91
2025-01-01,94591.79000000,46.6,Neutral,False,4,66,0.9315,-2.08,0.39,0.50,6.24,8.29
2025-01-02,96984.79000000,53.3,Neutral,False,4,70,0.9432,0.26,0.82,-4.57,3.10,3.76
2025-01-03,98174.18000000,51.9,Neutral,False,4,74,0.9438,1.26,0.57,-3.51,6.01,-0.48
2025-01-04,98220.50000000,48.5,Neutral,False,4,73,0.9342,1.16,0.34,-3.69,6.45,3.16
2025-01-05,98363.61000000,49.9,Neutral,False,4,72,0.9637,1.15,0.33,-3.88,3.02,-0.61
2025-01-06,102235.60000000,56.5,Neutral,False,4,76,0.9757,4.86,1.03,-7.53,0.02,-5.50
2025-01-07,96954.61000000,52.5,Neutral,False,4,78,0.9590,-0.69,1.36,-0.41,9.48,-0.41
2025-01-08,95060.61000000,49.0,Neutral,False,4,70,0.9331,-2.68,1.50,5.72,9.10,1.52
2025-01-09,92552.49000000,42.0,Neutral,False,4,69,0.9059,-5.22,1.64,8.03,12.27,4.21
